topic_clean,tweets_per_account_pre,tweets_per_account_post,change,se,ci_lower,ci_upper,n_accounts
Family,7.692412292629862,8.032635300516725,.34022301,.1740602,-.00093496917,.68138099,3677
Youth & Student Life,1.013698630136986,.6986301369863014,-.31506848,.12988137,-.56963599,-.060501006,511
Relationships,2.585554600171969,1.841788478073947,-.74376613,.071895234,-.88468081,-.60285145,2326
Other Hobbies,4.272764900662252,2.818708609271523,-1.4540563,.17786716,-1.8026758,-1.1054367,2416
Travel & Adventure,2.954727030625832,1.446515756768753,-1.5082113,.13024281,-1.7634872,-1.2529353,2253
Science & Technology,5.812252252252252,4.068828828828829,-1.7434235,.22091082,-2.1764088,-1.3104383,2775
Arts & Culture,4.249777777777778,2.429333333333333,-1.8204445,.1981394,-2.2087977,-1.4320912,2250
Learning & Educational,5.051170170567235,3.129313764379214,-1.9218564,.25374538,-2.4191973,-1.4245155,2521
Business & Entrepreneurs,6.641102456560815,4.551827441581786,-2.0892751,.25593233,-2.5909026,-1.5876478,3338
Gaming,6.015619324373411,3.858336360334181,-2.1572831,.42787972,-2.9959273,-1.3186388,2753
Fitness & Health,5.84788448623237,3.608462055070517,-2.2394223,.20251423,-2.6363502,-1.8424945,2978
Celebrity & Pop Culture,8.019674711437565,5.299317943336831,-2.7203567,.15967163,-3.033313,-2.4074004,3812
Fashion & Style,7.0575260804769,4.051862891207153,-3.0056632,.26129773,-3.5178068,-2.4935195,3355
Film Tv & Video,12.53477707006369,7.899108280254777,-4.6356688,.32132065,-5.2654572,-4.0058804,3925
Music,12.08213182286303,7.105046343975284,-4.9770856,.30152243,-5.5680695,-4.3861017,3884
News & Social Concern,17.78704393149665,12.53090096798213,-5.2561431,.42302495,-6.0852718,-4.4270144,4029
Food & Dining,14.20114345114345,7.294698544698544,-6.906445,.32584801,-7.5451074,-6.2677827,3848
Sports,35.21968581246932,25.44624447717231,-9.7734413,.72285354,-11.190234,-8.3566484,4074
Diaries & Daily Life,112.2986731001206,68.7934861278649,-43.505188,1.7593759,-46.953564,-40.056812,4145
