topic_clean,tweets_per_account_pre,tweets_per_account_post,change,se,ci_lower,ci_upper,n_accounts
Family,8.7515469,9.2705584,.5190115,.1740602,.17785351,.86016947,3677
Youth & Student Life,1.5462687,1.4055119,-.14075685,.12988137,-.39532432,.11381064,511
Science & Technology,6.8956819,6.4044242,-.49125767,.22091082,-.92424285,-.058272466,2775
Relationships,3.3300111,2.706254,-.62375712,.071895234,-.7646718,-.48284248,2326
Other Hobbies,5.3211341,4.5189118,-.80222225,.17786716,-1.1508418,-.45360261,2416
Travel & Adventure,3.6061754,2.736356,-.8698194,.13024281,-1.1250954,-.6145435,2253
Gaming,7.3834152,6.4258924,-.95752287,.42787972,-1.7961671,-.11887862,2753
Learning & Educational,6.092823,4.9772873,-1.1155357,.25374538,-1.6128767,-.61819482,2521
Business & Entrepreneurs,7.6998959,6.2837057,-1.4161901,.25593233,-1.9178175,-.91456276,3338
Arts & Culture,5.3210907,3.8250525,-1.4960382,.1981394,-1.8843914,-1.107685,2250
Fitness & Health,6.9465499,5.2470703,-1.6994796,.20251423,-2.0964074,-1.3025517,2978
Celebrity & Pop Culture,8.8126259,6.4746795,-2.3379464,.15967163,-2.6509027,-2.0249901,3812
Fashion & Style,8.1648273,5.5260162,-2.6388111,.26129773,-3.1509547,-2.1266675,3355
Film Tv & Video,13.449699,9.478447,-3.9712524,.32132065,-4.6010408,-3.341464,3925
News & Social Concern,18.541786,14.306319,-4.235467,.42302495,-5.0645957,-3.406338,4029
Music,13.053408,8.8025522,-4.2508554,.30152243,-4.8418393,-3.6598716,3884
Food & Dining,15.129014,8.9537477,-6.1752663,.32584801,-6.8139286,-5.5366039,3848
Sports,36.343719,28.448957,-7.894762,.72285354,-9.3115549,-6.4779692,4074
Diaries & Daily Life,112.78847,69.43,-43.358467,1.7593759,-46.806843,-39.910091,4145
