topic_clean,prob_pre_pp,prob_post_pp,change_pp,se_pp,ci_lower,ci_upper,n
Sports,19.28392385667023,18.4387230030933,-.85178995,.13392252,-1.1142781,-.58930182,4137
Food & Dining,6.271557919233926,5.453557621630649,-.82073611,.075024888,-.96778488,-.67368734,4137
Music,7.337503366312028,6.849603246521821,-.48576841,.072982475,-.62881404,-.34272274,4137
Other Hobbies,10.20091045954415,9.720670068935167,-.47519016,.053607695,-.58026123,-.37011907,4137
Travel & Adventure,4.080720558595932,3.753514637416882,-.32766166,.033487476,-.39329711,-.26202619,4137
"Film, TV & Video",8.559955454966587,8.26670238960417,-.28781667,.080046915,-.44470862,-.13092472,4137
Arts & Culture,6.085335956916018,5.866874211914103,-.21492764,.034081809,-.281728,-.14812729,4137
Gaming,4.055966319086631,3.838085160536419,-.21313751,.061072614,-.33283982,-.093435183,4137
Learning & Educational,3.146040307494805,2.989671872016864,-.15500669,.038379073,-.23022968,-.0797837,4137
Business & Entrepreneurs,5.182465458104554,5.044788249863109,-.13855416,.055272751,-.24688874,-.030219564,4137
Science & Technology,3.448507415385488,3.343439679988054,-.1035305,.042278513,-.18639638,-.020664614,4137
Fashion & Style,3.036330872440102,2.965840118243147,-.072719872,.040355798,-.15181723,.0063774879,4137
Fitness & Health,4.318868878396273,4.285281540818941,-.037666697,.054181136,-.14386173,.068528324,4137
Celebrity & Pop Culture,7.961964571165008,7.939058691170345,-.024136303,.064333342,-.15022965,.10195705,4137
Youth & Student Life,2.056389721156025,2.039960627382882,-.016020888,.025166053,-.065346353,.033304576,4137
News & Social Concern,14.5667784409618,14.73703479471531,.17195155,.10404197,-.031970713,.3758738,4137
Diaries & Daily Life,38.12251191022267,39.44194971899948,1.3148427,.13158444,1.0569372,1.5727482,4137
Relationships,10.44016301683465,12.57259528669651,2.1293979,.079296663,1.9739765,2.2848194,4137
Family,10.09425677239916,13.17641493964235,3.0803013,.099088028,2.8860888,3.274514,4137
