topic,Pre,Post,Totals,Proportion Pre,Proportion Post,Difference,
arts_&_culture,9562,5532,15094,0.9%,0.8%,-0.1%,arts_&_culture
business_&_entrepreneurs,22168,15380,37548,2.1%,2.3%,0.1%,business_&_entrepreneurs
celebrity_&_pop_culture,30571,20421,50992,3.0%,3.0%,0.1%,celebrity_&_pop_culture
diaries_&_daily_life,465478,288289,753767,45.1%,42.8%,-2.3%,diaries_&_daily_life
family,28285,29753,58038,2.7%,4.4%,1.7%,family
fashion_&_style,23678,13732,37410,2.3%,2.0%,-0.3%,fashion_&_style
film_tv_&_video,49199,31399,80598,4.8%,4.7%,-0.1%,film_tv_&_video
fitness_&_health,17415,10894,28309,1.7%,1.6%,-0.1%,fitness_&_health
food_&_dining,54646,28415,83061,5.3%,4.2%,-1.1%,food_&_dining
gaming,16561,10765,27326,1.6%,1.6%,0.0%,gaming
learning_&_educational,12734,8025,20759,1.2%,1.2%,0.0%,learning_&_educational
music,46927,27912,74839,4.5%,4.1%,-0.4%,music
news_&_social_concern,71664,51238,122902,6.9%,7.6%,0.7%,news_&_social_concern
other_hobbies,10323,6885,17208,1.0%,1.0%,0.0%,other_hobbies
relationships,6014,4322,10336,0.6%,0.6%,0.1%,relationships
science_&_technology,16129,11419,27548,1.6%,1.7%,0.1%,science_&_technology
sports,143485,105027,248512,13.9%,15.6%,1.7%,sports
travel_&_adventure,6657,3294,9951,0.6%,0.5%,-0.2%,travel_&_adventure
youth_&_student_life,518,359,877,0.1%,0.1%,0.0%,youth_&_student_life
Totals,1032014,673061,1705075,100.0%,100.0%,,Totals
