unique_id,author_id,date_birth,female,date_birth_tweet,tweet_id,text,created_at,days_from_birth,week_from_birth,months_from_birth,like_count,retweet_count,reply_count,quote_count,tweet_type,tweet_url,embedded_urls,media_urls,full_3years,no_rt_reply,post_birth,acct_tweeted_postBA,text_with_link,tweet_postBA,text_profile_pic,label
535948980_2014-05-07,'535948980',19850,1,19850,'341540364836020226',Why does everyone tell me they think your creepy.. It must be a sign that I should stay away,19512,-338,-49,-12,0,0,0,0,original,https://twitter.com/i/web/status/341540364836020226,,,1,0,0,1,Why does everyone tell me they think your creepy.. It must be a sign that I should stay away,0,Why does everyone tell me they think your creepy.. It must be a sign that I should stay away,daily_life
1219934264_2018-12-02,'1219934264',21520,1,21520,'1067232769334550529',I grew out of my sneaker stage 😩 like all I used to wear is jays and shit now I can’t tell you the last time I wore a pair of my shoes 😭,21515,-5,-1,-1,0,0,0,0,original,https://twitter.com/i/web/status/1067232769334550529,,,1,0,0,1,I grew out of my sneaker stage 😩 like all I used to wear is jays and shit now I can’t tell you the last time I wore a pair of my shoes 😭,0,I grew out of my sneaker stage 😩 like all I used to wear is jays and shit now I can’t tell you the last time I wore a pair of my shoes 😭,business_&_entrepreneurs
137918159_2017-06-19,'137918159',20989,0,20989,'860529712992460804',"A replacement for my old &amp; dying MacBook Pro, OR an Andy-signed NorthPoint onesie for my soon to be born daughter. Your move! #Drive17wish",20944,-45,-7,-2,2,1,0,0,original,https://twitter.com/i/web/status/860529712992460804,,,1,0,0,1,"A replacement for my old &amp; dying MacBook Pro, OR an Andy-signed NorthPoint onesie for my soon to be born daughter. Your move! #Drive17wish",0,"A replacement for my old &amp; dying MacBook Pro, OR an Andy-signed NorthPoint onesie for my soon to be born daughter. Your move! #Drive17wish",science_&_technology
604636007_2018-11-06,'604636007',21494,1,21494,'899080302378831872',"Love this fluff, forever and for always 💟🐱🐈 ",21051,-443,-64,-15,0,0,0,0,original,https://twitter.com/i/web/status/899080302378831872,,,1,0,0,1,"Love this fluff, forever and for always 💟🐱🐈 https://t.co/AxFcbfwLAd",0,"Love this fluff, forever and for always 💟🐱🐈 ",daily_life
93293616_2017-08-04,'93293616',21035,1,21400,'865253567967395840',I feel like I got a vaccine for everything. Why can't there be a vaccine for allergies? 😩 iont ever wanna be sick,20957,-78,-12,-3,0,0,1,0,original,https://twitter.com/i/web/status/865253567967395840,,,1,0,0,1,I feel like I got a vaccine for everything. Why can't there be a vaccine for allergies? 😩 iont ever wanna be sick,0,I feel like I got a vaccine for everything. Why can't there be a vaccine for allergies? 😩 iont ever wanna be sick,science_&_technology
30239563_2018-09-21,'30239563',21448,1,21448,'1029745944093491200',FAMILY SHOE GAME ON POINT 👏🏻 Waiting for little feet to fill these Jordans just means more time to fill up my cart again and again with way too many pairs of shoes! 😳😝 Send me your fave… ,21411,-37,-6,-2,1,0,0,0,original,https://twitter.com/i/web/status/1029745944093491200,,,1,0,0,1,FAMILY SHOE GAME ON POINT 👏🏻 Waiting for little feet to fill these Jordans just means more time to fill up my cart again and again with way too many pairs of shoes! 😳😝 Send me your fave… https://t.co/jc8aQV1IqR,0,FAMILY SHOE GAME ON POINT 👏🏻 Waiting for little feet to fill these Jordans just means more time to fill up my cart again and again with way too many pairs of shoes! 😳😝 Send me your fave… ,sports_&_gaming
84417218_2014-07-03,'84417218',19907,0,19907,'332928721814159360',I feel like I'm in a real life  bedazzled...,19488,-419,-60,-14,1,0,0,0,original,https://twitter.com/i/web/status/332928721814159360,,,1,0,0,1,I feel like I'm in a real life  bedazzled...,0,I feel like I'm in a real life  bedazzled...,daily_life
357292411_2017-12-11,'357292411',21164,1,21165,'1118315594879774722',Ryan was messing around with my gun. And now I have a hole in my house. 🙄🤦🏼‍♀️,21656,492,70,16,0,0,1,0,original,https://twitter.com/i/web/status/1118315594879774722,,,1,0,1,1,Ryan was messing around with my gun. And now I have a hole in my house. 🙄🤦🏼‍♀️,1,Ryan was messing around with my gun. And now I have a hole in my house. 🙄🤦🏼‍♀️,daily_life
354572291_2016-07-28,'354572291',20663,-99,20664,'652128587944865792',"I know I'm always saying this, but these little logo handbooks from @counterprint are so damn cool. I… ",20369,-294,-42,-10,3,1,0,0,original,https://twitter.com/i/web/status/652128587944865792,,,1,0,0,1,"I know I'm always saying this, but these little logo handbooks from @counterprint are so damn cool. I… https://t.co/dMpd8pn70r",0,"I know I'm always saying this, but these little logo handbooks from @counterprint are so damn cool. I… ",arts_&_culture
560564445_2018-02-27,'560564445',21242,1,21242,'1081222441706369024',But stay littering ,21553,311,44,10,0,0,0,0,quote,https://twitter.com/i/web/status/1081222441706369024,,,1,0,1,1,But stay littering https://t.co/jjHjHf6FuU,1,But stay littering ,daily_life
